go_stop_number	go_stop_name	go_stop_id	go_latitude	go_longitude	come_stop_number	come_stop_name	come_stop_id	come_latitude	come_longitude		
0東	0100000A00										
1 	瑞湖街口	1149400220 	25 	122 	1 	瑞湖街口	1149400220 	25 	122 		
1 	臺北車站(公園)	1004700340 	25 	122 	1 	臺北車站(公園)	1004700340 	25 	122 		
10 	捷運大安站(信義)	1065800420 	25 	122 	10 	捷運大安站(信義)	1065800420 	25 	122 		
10 	內湖高中	1147500020 	25 	122 	10 	內湖高中	1147500020 	25 	122 		
11 	信義大安路口	1068300220 	25 	122 	11 	信義大安路口	1068300220 	25 	122 		
11 	方濟中學	1146000140 	25 	122 	11 	方濟中學	1146000140 	25 	122 		
12 	信義敦化路口	1068100120 	25 	122 	12 	信義敦化路口	1068100120 	25 	122 		
12 	將軍嶺	1147200240 	25 	122 	12 	將軍嶺	1147200240 	25 	122 		
13 	三總內湖站	1149000100 	25 	122 	13 	三總內湖站	1149000100 	25 	122 		
13 	仁愛國中	1068900100 	25 	122 	13 	仁愛國中	1068900100 	25 	122 		
14 	安和敦化路口	1068900400 	25 	122 	14 	安和敦化路口	1068900400 	25 	122 		
14 	國防醫學中心	1147200140 	25 	122 	14 	國防醫學中心	1147200140 	25 	122 		
15 	捷運忠孝敦化站	1069000200 	25 	122 	15 	捷運忠孝敦化站	1069000200 	25 	122 		
15 	內湖行政大樓	1146600160 	25 	122 	15 	內湖行政大樓	1146600160 	25 	122 		
16 	市民大道口	1055700000 	25 	122 	16 	市民大道口	1055700000 	25 	122 		
16 	三民國中	1146600060 	25 	122 	16 	三民國中	1146600060 	25 	122 		
17 	臺視	1055900020 	25 	122 	17 	臺視	1055900020 	25 	122 		
17 	時報廣場	1149401060 	25 	122 	17 	時報廣場	1149401060 	25 	122 		
18 	美仁里	1055400120 	25 	122 	18 	美仁里	1055400120 	25 	122 		
18 	民權大橋	1149400360 	25 	122 	18 	民權大橋	1149400360 	25 	122 		
19 	新益里	1059200140 	25 	122 	19 	新益里	1059200140 	25 	122 		
19 	榮民服務處	1056000100 	25 	122 	19 	榮民服務處	1056000100 	25 	122 		
2 	捷運台大醫院站	1004600040 	25 	122 	2 	捷運台大醫院站	1004600040 	25 	122 		
2 	麗寶大樓	1149100300 	25 	122 	2 	麗寶大樓	1149100300 	25 	122 		
20 	南京新村	1057900100 	25 	122 	20 	南京新村	1057900100 	25 	122 		
20 	民生國中	1059100040 	25 	122 	20 	民生國中	1059100040 	25 	122 		
21 	新東街口	1058900160 	25 	122 	21 	新東街口	1058900160 	25 	122 		
21 	三軍總醫院松山分院	1058600020 	25 	122 	21 	三軍總醫院松山分院	1058600020 	25 	122 		
22 	長壽公園	1058600120 	25 	122 	22 	長壽公園	1058600120 	25 	122 		
22 	三民路	1058200140 	25 	122 	22 	三民路	1058200140 	25 	122 		
23 	健康新城	1058600220 	25 	122 	23 	健康新城	1058600220 	25 	122 		
23 	三民健康路口(西松高中)	1058200040 	25 	122 	23 	三民健康路口(西松高中)	1058200040 	25 	122 		
24 	健康新城	1058600260 	25 	122 	24 	健康新城	1058600260 	25 	122 		
24 	三民健康路口(西松高中)	1058200000 	25 	122 	24 	三民健康路口(西松高中)	1058200000 	25 	122 		
25 	長壽公園	1058600160 	25 	122 	25 	長壽公園	1058600160 	25 	122 		
25 	三民路	1058200100 	25 	122 	25 	三民路	1058200100 	25 	122 		
26 	三軍總醫院松山分院	1056400060 	25 	122 	26 	三軍總醫院松山分院	1056400060 	25 	122 		
26 	新東街口	1058900120 	25 	122 	26 	新東街口	1058900120 	25 	122 		
27 	南京新村	1057900140 	25 	122 	27 	南京新村	1057900140 	25 	122 		
27 	民生國中	1059400200 	25 	122 	27 	民生國中	1059400200 	25 	122 		
28 	博仁醫院	1056000040 	25 	122 	28 	博仁醫院	1056000040 	25 	122 		
28 	新益里	1059200100 	25 	122 	28 	新益里	1059200100 	25 	122 		
29 	民權大橋	1149400320 	25 	122 	29 	民權大橋	1149400320 	25 	122 		
29 	光復路口	1055400060 	25 	122 	29 	光復路口	1055400060 	25 	122 		
3 	中正紀念堂	1004800920 	25 	122 	3 	中正紀念堂	1004800920 	25 	122 		
